,1_10115_88_S4,1_70008_mor_imp,10_40039_S11,10_90002_mor_det,11_10102_mor_det,11_40044_S12,12_20042_eve_det,12_40035_S13,13_10119_94_S14,13_90006_eve_det,14_10104_eve_det,14_40003_S15,15_40047_S16,15_Control_blood_9,16_10103_I1,16_Control_blood_11,17_10108_I2,17_Control_blood_12,18_10136_I3,18_Control_blood_13,19_10141_I4,19_Control_blood_14,2_10131_83_S5,2_40058_mor_imp,20_10155_I5,20_Control_blood_15,21_10181_I6,21_Control_blood_16,22_10100_D1,22_Control_blood_17,23_10116_D2,23_Control_blood_18,24_10145_D3,24_Control_blood_19,25_10146_D4,26_10156_D5,27_30057_D6,3_10166_mor_imp,3_10189_45_S6,4_10177_eve_imp,4_90003_S7,5_10171_eve_imp,5_40026_S8,6_30065_S9,6_40049_eve_imp,7_30040_mor_det,8_60004_mor_det,9_30053_mor_det,9_30074_50_S10
tRF-22-MWWB8HWKN,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
tRF-22-N1EH6KK8N,13,28,3,18,20,,33,10,16,10,25,12,7,9,4,24,14,8,9,8,7,22,12,15,15,4,10,8,4,20,14,30,15,11,,9,13,8,10,21,15,10,24,5,20,4,12,15,16
tRF-22-N7D9BKYS4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
tRF-22-N7S3S3RX5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
tRF-22-N90VL8K8N,,,,1,,,,1,,,1,,,3,,,2,,,,,,,,,1,,3,,,,,,,,1,,,,,1,,2,,,2,,,
tRF-22-NB8PLML35,1,,,,,,,1,2,,1,,,1,,2,,,,1,,1,1,,,2,,,,1,,,,,,,,,,,,,,1,,,,,1
tRF-22-NBDWY2MJ5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-ND8PHPDJP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
tRF-22-NF56FK8R4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-22-NL5RYKWI4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-22-NMEH623KN,3,11,4,7,11,,10,8,5,4,13,3,3,6,3,13,3,14,1,2,3,14,6,4,8,3,2,5,1,3,12,10,2,15,2,5,7,4,8,4,10,2,1,1,24,1,10,21,5
tRF-22-NMEH62NKN,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
tRF-22-NONU3IND2,,,,3,1,,3,3,5,,1,1,4,6,1,2,4,7,3,5,,5,2,2,7,4,1,7,1,12,2,3,2,4,1,7,6,1,3,,,1,,1,1,1,1,2,1
tRF-22-NQDVLKZ4H,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,
tRF-22-NRDF7UK8M,,,1,,,,,,,,2,1,2,,,3,,3,,1,1,,,3,,,,3,,,,,,,,,,1,,1,1,,,2,1,1,,,
tRF-22-NRDF7UK8N,8,7,3,9,4,1,5,4,3,,3,6,3,7,1,7,2,5,,5,3,4,,2,3,11,2,5,,3,1,6,,3,1,2,1,4,7,6,3,3,,7,4,7,2,3,2
tRF-22-NS56O2Z04,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-22-NSRJ7KYUI,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
tRF-22-NY2WI0PR4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-O9JEJB6YK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
tRF-22-O9XEKJ5RL,,1,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-22-OB1690PQ4,,,,,,,1,,1,1,,,,,1,,,,,1,,1,2,,,,,,,,,,1,,,1,,,1,,,2,1,,,,1,1,
tRF-22-OB9ZFH691,,2,2,,2,,2,,4,,1,,1,2,,1,,1,,3,,,,,,1,,5,,2,,1,,1,,,,,3,,2,3,4,,2,1,1,3,2
tRF-22-OJ7IR1JOJ,,1,,,,,1,1,,,,,,1,,,,,,,,,,,,1,,,,,,1,,1,,,,1,1,,,1,1,,,,,2,2
tRF-22-ON4VN1EH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-22-OZXEKJ5RL,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-P01LPKHUK,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-P42U6RM35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
tRF-22-P4L2RPM25,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-P5QK11M35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-22-PER8YP9LL,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
tRF-22-PIR8YP9LL,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
tRF-22-PLR8YP9LL,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-22-PS5P4PW3H,,,,,,,1,,,,,,,,1,1,,,,,,1,,,,,,,,,2,2,,,,,,1,,,,1,,,2,1,,,
tRF-22-PSQP4PW3H,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,
tRF-22-PV6RRNLNJ,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-PY8HM2OS4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-PYKHM26R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-22-Q1Q89P9L5,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-22-Q2FWQ8P6O,,,,,,1,5,1,,2,3,,,,,6,,3,1,2,,,,1,,1,,2,,1,,4,,2,1,,1,2,1,1,,1,,,1,1,3,5,1
tRF-22-Q2FWQ8PSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-22-Q3V2Y7RZ5,,1,,,,,,,,,2,1,,,,,,1,,1,,,1,,,1,,1,,,,1,,,,,,,,1,,,1,1,,,,2,
tRF-22-Q4YOS5S84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-22-Q4YUH5S84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-22-Q72S3HPS4,,1,2,2,,,1,3,,,,2,,1,,2,2,,,,,,1,2,,,,,,,,1,,1,,,,,,,,2,,,1,,,3,1
tRF-22-Q86N7KYUN,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-Q9P4VURRK,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-QHY8NNBSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
tRF-22-QHZ8NNBXF,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-QI45LSM1K,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,1,,,,
tRF-22-QJ3KYUYR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-22-QKF1R3WE5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-QNR8VP9LH,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,
tRF-22-QO945NB23,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-QSZ343RQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
tRF-22-QZ6INDUPP,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-QZPHM87SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
tRF-22-QZPHVU6RK,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
tRF-22-R29P4P9LL,1,1,2,,3,5,3,1,1,,3,,3,6,1,3,,,,5,,1,,1,1,5,,4,,1,1,3,,1,,,1,2,1,1,1,1,2,,2,2,1,,3
tRF-22-R2IP4OI3H,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-R2YJ8B9LL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
tRF-22-R4L2RRM35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-22-R4VIJ4S2M,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-R71KVUY94,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
tRF-22-R7KE6KM8N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
tRF-22-R959MIL0L,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
tRF-22-R95RM3Y82,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-R9OMMIL0L,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
tRF-22-RESJ83RPH,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
tRF-22-RK9P4P9LL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
tRF-22-RNLNKSEKL,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-RPM8309MO,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,1,,1,
tRF-22-RPM830MMO,2,,,3,2,,1,3,,,4,,,1,5,5,4,,4,4,2,3,,,,,2,2,,4,1,,2,4,1,1,1,1,1,1,1,3,1,,5,,3,3,3
tRF-22-RR338B88N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
tRF-22-RRM38B8SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-22-RV50SRRN2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,1,,,,1,
tRF-22-RX6N38Z91,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,
tRF-22-RX6NMH491,,,,,1,,2,1,2,,,,,,,4,,,,,,1,,,,1,,2,,,1,2,1,,1,,,,2,2,1,3,1,1,2,,1,1,
tRF-22-RX6NMH49I,,1,,2,,,,,,,1,,,1,,2,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-22-RX8HYV451,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
tRF-22-RXPIN2NYF,,,,,,,,,,,,,2,,,,,1,,1,,2,,,1,,,,,1,,1,,,,,,,,1,,1,,,2,1,,,
tRF-22-RXSINHZ4M,,1,1,,,,,,,,,,,,,3,,1,,1,,,,,,,,,,1,1,1,,,,,,1,,,,2,,,,1,,,
tRF-22-RXSMKVNM1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
tRF-22-S2I7L7P5M,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,3,1,,,1,,,,,,,,,,,,,,1,
tRF-22-S2P4F1NO5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-S3M8309NF,4,3,2,3,3,,5,1,6,2,,3,5,5,7,11,3,8,,12,,4,,1,3,10,,8,1,3,1,9,,3,,1,1,2,1,2,1,3,2,3,17,3,5,13,
tRF-22-S5R8309NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
tRF-22-S8V0J6OZQ,,,1,1,,,,,,,,,,2,,1,,,,,,1,,,,1,,1,,1,,,,,,,1,,,2,1,1,,1,,1,,,
tRF-22-S9KY5J7KQ,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-S9ME6KM8N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
tRF-22-SELQBDYB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
tRF-22-SJ7JLJR7F,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-SL73VL4YK,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
tRF-22-SQ6KK4RN4,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,
tRF-22-SQYU9H935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
tRF-22-SX73V2Y8K,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
tRF-22-SX7JV2Y8K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
tRF-22-SXQ3V2Y74,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-22-U00KRX673,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-U0SR9NLMJ,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-U1J0SU9E3,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-U1J0SU9EK,,,,2,,,1,,1,,3,,2,1,,1,,,,1,,,,1,,,,,,,1,,,,,1,2,1,,1,1,,1,,,1,2,,
tRF-22-U1O0789NK,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
tRF-22-U37Y93Y05,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-U4727OFIQ,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-U736DFHF3,,1,,1,2,,,,,,,,,1,,,,,,1,,,1,,1,,3,,,,,1,1,,,,4,,2,,1,,1,3,,,,1,
tRF-22-UDJKSV5N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
tRF-22-UE02K0F75,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,
tRF-22-UF04QZ452,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-UJJKIWRNK,1,,1,,,,1,,1,2,,,1,,,,,,,,,1,2,1,,,,2,,1,,,,,,1,,,,1,1,1,1,6,1,,,,
tRF-22-UK46S9Y84,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-UKM759ME2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-UMFKS6RN2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,
tRF-22-UMPLBIUB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-22-UMX0S75NK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-22-UMXKS6RN2,,,1,,1,,1,3,1,,1,,,,,2,1,1,,,,,1,1,1,2,,1,1,3,1,1,,1,,,,,1,,2,1,,3,3,,,2,
tRF-22-UN207RRNK,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-UZHEPURYP,,1,4,1,1,,1,2,,,,,,,,1,2,1,,,,,1,3,1,,,,,,,2,,2,,2,3,3,2,,1,3,1,,,,,6,1
tRF-22-V0J8O9YE3,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,1,,,1,
tRF-22-V29K9UV34,,1,1,,3,1,3,,,1,1,,,,,,2,1,,2,,2,,1,1,4,,3,,1,,3,1,,,,1,1,,1,,1,2,1,,,,1,1
tRF-22-V47P596V5,14,11,18,15,12,,14,28,17,10,16,12,5,10,5,33,5,10,2,19,2,14,14,6,4,4,,11,4,9,12,27,6,23,3,3,6,5,17,12,24,13,19,9,17,7,19,14,15
tRF-22-V47P59FV5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
tRF-22-V47PU9XWP,,1,3,,1,,2,,,,,3,,1,1,4,,6,,1,1,6,,,1,6,2,2,,,1,3,3,1,1,,,,,,,,,,4,,1,,
tRF-22-V6Z3M8ZLN,,2,,1,,,,,,,,,,3,,1,,1,,,,2,,,,1,,2,,1,,1,2,1,,,,1,,1,,1,,,2,,,,
tRF-22-VBY9PYKHK,5,3,4,2,6,3,5,9,8,1,5,4,3,3,4,26,1,8,,4,3,7,2,2,2,16,,6,,8,,12,,8,1,,,1,4,2,4,9,2,,6,2,6,2,3
tRF-22-VBYZPYKH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-22-VF4YO9XEJ,1,1,,,,2,4,2,4,,,1,1,3,,5,,1,,,,2,5,2,,,,,,1,,,,,,,1,1,1,,1,,4,1,2,1,,,1
tRF-22-VFX55J38N,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-22-VFX55JK8N,15,7,18,8,5,1,15,34,15,24,19,10,9,12,6,35,6,3,15,9,1,10,16,19,15,8,5,27,8,31,15,6,7,10,4,3,5,20,8,17,11,16,18,18,34,10,18,11,9
tRF-22-VH915HSXH,,,,1,,,1,,,,1,,,1,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,4,,,,
tRF-22-VHJYOZ4E5,,,3,,3,1,,4,1,2,,1,2,1,1,3,,,1,2,1,1,1,,,,,3,,4,1,2,,2,1,,,1,,2,1,5,,,1,,1,,
tRF-22-VHM6S9HE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
tRF-22-VHM96YYD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-22-VKS4I7MNP,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
tRF-22-VKXU53K8N,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,1,,,,
tRF-22-VL4YMY91M,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-VM7JL3RXH,1,3,3,3,3,,1,2,1,1,1,1,2,6,,9,,4,,4,1,7,,1,,9,,1,,2,1,8,,7,,,,2,5,3,,4,1,,7,1,2,10,
tRF-22-VP9N15WVN,,,,,,,,,,,1,1,1,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
tRF-22-VW3H93WBJ,9,,8,3,2,1,4,8,1,5,1,7,2,4,,3,2,2,,1,,3,7,1,,4,1,,,5,,2,1,,,,,3,2,3,7,,4,9,2,1,1,5,4
tRF-22-W08638RV2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-W08SQ2SV2,,1,,1,,,,,,,1,,,1,,1,,1,,2,1,,,,,,,,2,,1,,,,,,,1,,1,,,,,,,1,1,
tRF-22-W08Y3HSV2,,1,2,,,,4,1,,,2,2,1,,,1,,,,1,,2,,,,,1,,1,2,,,,,,,,2,,,,1,,,,,2,,1
tRF-22-W0K672052,32,39,53,21,55,16,34,40,65,12,26,61,34,33,10,30,10,38,1,36,3,23,32,25,7,21,1,42,2,27,4,41,9,17,3,4,2,37,72,29,41,37,54,61,59,42,34,43,45
tRF-22-W0WS72092,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,
tRF-22-W282FN5KQ,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-22-W282FNPKQ,,,,,,,1,,,,,,,1,,,,,,,,2,,,,2,,1,,1,,,,,,,,,,,1,,,,,,,,1
tRF-22-W3VHM96YQ,,1,,1,,,,,3,1,,,,2,,,,,,2,,,,,,,,1,,1,,1,,1,,,,1,2,,1,1,,,,1,,,
tRF-22-W47W1R7HH,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-W631PJ3KQ,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-W631QJ3KQ,3,16,10,31,6,5,11,14,29,10,16,10,12,14,3,47,1,3,5,8,2,9,5,8,3,11,2,21,1,25,4,9,1,22,,7,1,9,7,20,5,22,9,9,6,8,23,31,24
tRF-22-W6RERNLN3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-W6UMX0SWL,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-22-W77JPEMNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-22-W7WK6WRN2,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,3,,
tRF-22-W7WK6WRNK,1,1,1,,1,,1,4,1,1,1,2,,1,1,2,,,,2,,2,,1,,1,1,1,,1,,2,,3,,1,,,3,,,1,1,3,,,4,,1
tRF-22-W7WK6WRNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
tRF-22-W96KM87SF,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,
tRF-22-W9RKM876F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
tRF-22-W9RKM87SF,,,1,1,,,,,1,1,,1,,,,1,,1,,,1,1,,,,,,,,,,1,,1,,,,1,,,,1,,4,2,1,,1,2
tRF-22-W9RKM87YF,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-WB08P2F52,,,,,,,1,,1,,2,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,1,,1,,
tRF-22-WB08Q2B52,7,5,19,9,11,,31,11,12,1,17,9,7,5,6,13,4,9,1,16,2,26,5,4,1,4,,12,1,23,4,38,2,2,4,1,1,10,15,11,14,18,4,1,12,3,11,20,6
tRF-22-WB0Q37Q52,73,78,52,53,81,31,67,87,119,60,90,68,32,55,31,59,22,99,16,100,10,74,74,41,14,149,21,117,14,39,8,170,31,62,23,4,23,20,113,154,110,81,129,132,100,32,32,77,83
tRF-22-WB8639SV2,,1,,,,,,,1,1,1,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,1,1,,,,,,,
tRF-22-WB863IP52,113,107,162,75,118,86,238,155,157,46,90,104,81,37,33,54,20,99,7,72,18,94,84,46,14,30,17,73,15,81,18,90,15,46,13,10,15,83,143,116,129,201,79,156,127,108,147,80,134
tRF-22-WB8647O52,277,304,370,291,492,154,974,401,590,219,511,257,309,211,142,629,78,786,29,706,64,713,246,168,55,305,68,626,59,635,61,864,89,281,56,32,83,304,408,400,275,677,319,422,629,308,578,306,386
tRF-22-WB8689SV2,1,9,5,9,14,4,14,5,4,4,10,3,1,3,6,15,9,19,3,14,2,9,3,5,2,52,2,19,3,10,2,20,2,14,1,1,5,11,8,15,8,16,14,15,16,11,11,13,2
tRF-22-WB86K2SV2,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-22-WB86K9SV2,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,,,,1,,,,,,,,,,,,,,,,,1
tRF-22-WB86KIP52,,,1,,1,,2,1,1,,,,,,,1,,,,,,1,,,1,,,,,,,,1,,1,,,,1,,1,1,,,,,1,3,
tRF-22-WB86N7O52,102,123,84,136,288,48,345,213,251,67,187,160,149,138,55,382,34,375,17,185,26,304,79,93,26,184,12,239,14,295,26,403,32,230,25,10,28,180,225,177,132,319,159,205,288,173,198,221,210
tRF-22-WB86Q3P92,227,263,360,232,347,58,563,383,375,128,296,161,216,161,69,237,91,309,45,273,55,357,164,121,37,241,55,222,46,452,63,409,63,113,64,38,35,283,248,316,219,501,193,270,382,230,355,279,268
tRF-22-WB86QKP92,,1,,1,1,,2,1,1,,3,,,,3,,1,2,,,,3,,,,1,1,1,,2,,1,1,,,,,,,,,1,1,1,3,1,2,,3
tRF-22-WB86S2P92,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
tRF-22-WB88481D2,,,1,,,,1,,,1,1,1,1,,,4,,1,,1,,1,2,1,,1,,1,,1,,3,,2,,,,,1,4,2,,,,3,,1,3,1
tRF-22-WB884U1D2,11,4,4,8,10,,19,14,10,1,9,3,4,6,12,35,3,19,2,14,4,16,4,3,4,13,2,12,4,24,4,27,2,22,2,5,3,2,5,7,15,10,5,4,17,2,10,12,7
tRF-22-WB8HWKS52,42,42,43,27,32,9,52,87,50,25,47,45,27,20,9,54,10,32,4,31,7,52,22,24,6,50,4,29,1,53,5,66,4,53,3,3,5,34,64,49,71,63,34,37,86,36,72,57,43
tRF-22-WB8US5652,3,8,4,2,3,1,8,3,4,1,4,5,2,33,,10,5,19,2,11,1,12,5,1,3,29,,18,,20,4,18,1,7,4,1,3,1,2,5,4,5,9,2,8,6,2,3,1
tRF-22-WB8Y3DUV2,21,19,36,12,28,3,51,22,22,10,36,7,15,18,13,55,9,40,7,50,2,28,9,6,5,17,1,24,6,27,4,56,11,33,2,2,9,20,15,9,28,31,8,8,43,11,23,23,15
